grid_point, analysis_value, analysis_increment
[24, 10],5764.048383629683,14.915132464592716
[24, 11],5781.672073387231,14.002656746326466
[24, 12],5800.062196477783,11.881566331601789
[24, 13],5816.517728819461,7.495417946272028
[24, 14],5831.515516559814,5.656986383391086
[24, 15],5843.726858864164,5.871384413905616
[24, 16],5856.333611418132,9.331194621870964
[24, 17],5869.038437400943,14.26404455357715
[24, 18],5876.939051510442,15.443711052012986
[24, 19],5875.810362324025,8.868602102968907
[24, 20],5875.13371152819,4.172798918893022
[24, 21],5875.600644260588,1.9213970796927242
[25, 0],5411.507206924546,-44.31096762565721
[25, 1],5477.116458859551,-22.292819092072932
[25, 2],5531.867045638526,-7.416533769828675
[25, 3],5576.071784004515,1.8913552194044314
[25, 4],5607.466052151617,3.4824143069035927
[25, 5],5636.85578668812,7.488692387051742
[25, 6],5663.462467732193,9.805960304884138
[25, 7],5694.552877200438,13.751633021263842
[25, 8],5722.390233137016,12.7737127760347
[25, 9],5751.57774235611,16.978355680347704
[25, 10],5771.905093871683,17.434160726950722
[25, 11],5789.674651322462,17.160641443486384
[25, 12],5805.40219582815,13.370015241438523
[25, 13],5818.907542289403,6.320417596138213
[25, 14],5832.560440296309,2.350478003749231
[25, 15],5847.2114778960395,3.8166704712884894
[25, 16],5860.293885559474,6.695321826233339
[25, 17],5870.6254303749065,8.723313981595311
[25, 18],5879.084548472127,10.721527118371341
[25, 19],5880.834596254138,7.940404387926719
[25, 20],5879.38227480478,3.613859236341341
[25, 21],5875.957087407723,-1.5190501842798767
[26, 0],5441.2862306706675,-25.906772757095496
[26, 1],5494.680141214095,-6.7099703475605565
[26, 2],5541.447097669577,6.103042530032326
[26, 3],5580.95373621935,12.336197740957687
[26, 4],5601.663727076336,2.581868562766431
[26, 5],5631.402805141355,5.839113738667038
[26, 6],5657.414233707619,6.542821400305002
[26, 7],5689.321885923503,9.746482348308746
[26, 8],5720.518909442574,9.65636070774326
[26, 9],5753.00654029917,15.070533822338803
[26, 10],5776.4095419238465,17.939218589644952
[26, 11],5793.201782822919,17.12684491686923
[26, 12],5806.104200538932,11.039995575733883
[26, 13],5823.7854030923945,7.595508659392181
[26, 14],5837.749283458887,2.295313195295421
[26, 15],5855.195155108714,5.052546705748682
[26, 16],5867.637835031341,6.835401348627784
[26, 17],5876.542975622691,8.241379418884208
[26, 18],5881.274534604606,8.072981924276974
[26, 19],5881.6662898771965,5.516500108441505
[26, 20],5879.13273117524,1.3071297526739727
[26, 21],5875.945822997674,-2.8108258291476886
[27, 0],5469.318805375481,-6.262891113548903
[27, 1],5507.751652187815,7.886172220791195
[27, 2],5546.450706492218,19.283034493539162
[27, 3],5580.314743973663,21.259341770978608
[27, 4],5587.044328960122,-4.621276256817509
[27, 5],5612.455879794927,-8.006917822904143
[27, 6],5634.182182086829,-12.656210104994898
[27, 7],5663.448563634574,-12.707123492403298
[27, 8],5704.489184362634,-4.625752896774429
[27, 9],5737.835092254037,-0.7331004877451051
[27, 10],5766.395892395589,5.897192805160557
[27, 11],5794.912788839766,16.57703967447287
[27, 12],5815.385730445856,17.584658000107083
[27, 13],5828.867931479005,7.757130865807085
[27, 14],5848.800318406522,5.835130990072685
[27, 15],5864.940545156044,6.594973924956321
